t,vehicle_speed,yaw_rate,steering_angle,lane_quality,object_gap,target_flag
5.7,61.794,0.02874,2.464,0.8269,36.005,1
5.8,61.661,0.02848,2.523,0.8206,35.822,1
5.9,61.522,0.02818,2.576,0.8138,35.687,1
6.0,61.377,0.02784,2.625,0.8066,35.598,1
6.1,61.227,0.02747,2.669,0.7992,35.554,1
6.2,61.072,0.02706,2.709,0.7914,35.552,1
6.3,60.912,0.02663,2.745,0.7835,35.59,1
6.4,60.747,0.02617,2.777,0.7754,35.664,1
6.5,60.578,0.0257,2.807,0.7673,35.772,1
6.6,60.404,0.02521,2.834,0.7592,35.909,1
6.7,60.227,0.02471,2.859,0.7513,36.072,1
6.8,60.046,0.02421,2.884,0.7436,36.257,1
6.9,59.862,0.02371,2.907,0.7362,36.461,1
7.0,59.675,0.02321,2.931,0.7292,36.679,1
7.1,59.485,0.02273,2.956,0.7228,36.907,1
7.2,59.293,0.02227,2.981,0.7171,37.142,1
7.3,59.099,0.02182,3.008,0.712,37.379,1
7.4,58.903,0.0214,3.037,0.7078,37.615,1
7.5,58.706,0.02101,3.069,0.7044,37.846,1
7.6,58.507,0.02065,3.103,0.702,38.068,1
7.7,58.308,0.02033,3.14,0.7005,38.28,1
7.8,58.108,0.02004,3.18,0.7,38.476,1
7.9,57.908,0.0198,3.224,0.7005,38.656,1
8.0,57.708,0.0196,3.271,0.702,38.815,1
8.1,57.509,0.01945,3.323,0.7044,38.952,1
8.2,57.31,0.01935,3.378,0.7078,39.065,1
8.3,57.113,0.0193,3.437,0.712,39.152,1
8.4,56.917,0.0193,3.5,0.7171,39.211,1
8.5,56.722,0.01936,3.567,0.7228,39.242,1
8.6,56.53,0.01946,3.637,0.7292,39.243,1
8.7,56.34,0.01963,3.712,0.7362,39.214,1
8.8,56.153,0.01985,3.79,0.7436,39.155,1
8.9,55.968,0.02012,3.871,0.7513,39.065,1
9.0,55.787,0.02045,3.956,0.7592,38.945,1
9.1,55.61,0.02083,4.044,0.7673,38.796,1
9.2,55.436,0.02127,4.134,0.7754,38.619,1
9.3,55.267,0.02176,4.228,0.7835,38.414,1
9.4,55.101,0.0223,4.323,0.7914,38.183,1
9.5,54.941,0.0229,4.42,0.7992,37.928,1
9.6,54.785,0.02354,4.519,0.8066,37.651,1
9.7,54.634,0.02423,4.62,0.8138,37.353,1
9.8,54.489,0.02497,4.721,0.8206,37.038,1
9.9,54.35,0.02575,4.823,0.8269,36.707,1
10.0,54.216,0.02657,4.925,0.8329,36.363,1
10.1,54.088,0.02744,5.028,0.8384,36.009,1
10.2,53.967,0.02834,5.129,0.8435,35.648,1
10.3,53.852,0.02927,5.23,0.8481,35.282,1
10.4,53.744,0.03024,5.33,0.8523,34.915,1
10.5,53.642,0.03123,5.429,0.8561,34.549,1
10.6,53.548,0.03225,5.525,0.8595,34.187,1
10.7,53.46,0.0333,5.619,0.8625,33.833,1
10.8,53.38,0.03436,5.711,0.8651,33.488,1
10.9,53.307,0.03544,5.8,0.8674,33.157,1
11.0,53.242,0.03653,5.885,0.8694,32.841,1
11.1,53.184,0.03764,5.967,0.8712,32.544,1
11.2,53.134,0.03875,6.045,0.8727,32.267,1
11.3,53.092,0.03986,6.119,0.874,32.013,1
11.4,53.058,0.04098,6.189,0.875,31.784,1
11.5,53.032,0.04209,6.254,0.8759,31.581,1
11.6,53.013,0.04319,6.313,0.8767,31.407,1
11.7,53.003,0.04428,6.368,0.8773,31.263,1
11.8,53.0,0.04536,6.417,0.8779,31.15,1
11.9,53.006,0.04643,6.461,0.8783,31.069,1
